,data_pedido,vendedor,id_vendedor
0,2016-10,141,25
1,2017-01,151,20
2,2017-02,228,46
3,2017-03,173,41
4,2017-04,116,31
5,2017-05,124,64
6,2017-06,76,36
7,2017-07,115,40
8,2017-08,129,55
9,2017-09,127,57
10,2017-10,147,54
11,2017-11,190,98
12,2017-12,90,73
13,2018-01,141,86
14,2018-02,120,88
15,2018-03,113,81
16,2018-04,202,125
17,2018-05,172,154
18,2018-06,191,18
