,seller_state_,review_score_mean,ticket_medio,products_by_orders,dias_na_base,perc_atividade,inativo
115,21,4.1,111.7,1.05,118,14.41,0
116,21,4.857142857142857,82.9,1.0,33,21.21,0
117,21,4.0,82.52,1.0,209,1.91,1
118,21,3.0526315789473686,395.24,1.19,241,6.64,0
119,21,5.0,112.07,1.0,20,25.0,0
120,21,3.742424242424242,332.57,1.32,344,14.24,0
121,7,5.0,86.67,1.0,1,100.0,0
122,21,5.0,242.4,1.0,57,3.51,1
123,21,4.583333333333333,77.2,1.0,106,10.38,0
124,21,2.8181818181818183,723.22,2.75,119,3.36,0
125,21,4.333333333333333,159.78,1.15,364,3.3,0
126,15,5.0,260.79,1.0,79,7.59,1
127,21,4.0212765957446805,293.52,1.33,572,15.73,0
128,14,5.0,100.64,1.0,59,3.39,1
129,21,4.1,197.46,1.25,204,3.92,1
130,21,5.0,74.51,1.0,1,100.0,0
131,21,4.5,138.61,1.0,142,1.41,0
132,7,4.08695652173913,64.88,1.0,368,6.25,1
133,21,4.0,206.65,1.0,1,100.0,1
134,21,4.666666666666667,516.88,1.0,67,4.48,0
135,21,4.785714285714286,312.87,1.56,428,2.1,0
136,21,5.0,62.87,1.0,1,100.0,1
137,14,3.564102564102564,673.07,1.58,249,18.47,0
138,19,5.0,11745.0,15.0,1,100.0,1
139,21,3.6666666666666665,141.55,1.5,10,20.0,1
140,7,5.0,30.86,1.0,1,100.0,1
141,18,4.75,51.45,1.0,99,4.04,0
142,14,4.0327102803738315,319.05,1.32,297,34.01,0
143,21,4.215686274509804,90.17,1.12,477,24.32,0
144,21,5.0,33.16,1.0,1,100.0,1
145,21,4.633333333333334,102.97,1.03,505,5.35,0
146,21,3.9831460674157304,108.17,1.14,478,24.9,0
147,21,4.888888888888889,168.26,1.0,60,13.33,0
148,21,3.7540983606557377,363.64,1.64,514,7.0,0
149,15,3.6666666666666665,82.86,1.0,104,5.77,1
150,21,3.9220779220779223,98.79,1.26,383,14.62,0
151,14,5.0,113.42,1.0,46,10.87,1
152,7,4.139737991266376,171.85,1.3,582,21.13,0
153,14,5.0,122.3,1.0,78,3.85,0
154,7,4.048780487804878,173.26,1.11,498,7.23,0
155,21,4.52,56.32,1.14,266,7.89,0
156,21,4.0,447.93,1.33,22,13.64,1
157,18,2.75,572.2,2.0,70,5.71,1
158,7,4.166666666666666,223.01,1.18,371,11.86,1
159,5,5.0,91.82,1.0,22,9.09,0
160,21,4.25,93.58,1.06,436,25.0,1
161,21,3.9384615384615382,220.89,1.22,256,40.62,0
162,21,4.5,70.06,1.11,135,5.93,0
163,7,4.32258064516129,140.19,1.08,463,15.33,0
164,21,2.6666666666666665,44.53,1.0,24,12.5,0
165,21,3.857142857142857,48.9,1.17,314,1.91,0
166,21,4.666666666666667,64.03,1.0,81,3.7,0
167,19,4.142857142857143,233.33,1.17,190,3.16,1
168,7,4.361313868613139,89.81,1.2,584,30.99,0
169,21,4.714285714285714,116.46,1.0,505,2.57,0
170,7,4.515151515151516,130.26,1.06,424,7.31,0
171,5,5.0,156.57,1.33,26,11.54,1
172,21,4.390243902439024,64.22,1.0,321,11.21,0
173,21,5.0,70.93,1.0,1,100.0,1
174,14,4.267857142857142,155.93,1.19,278,14.75,0
175,21,3.75,120.34,1.0,34,11.76,1
176,21,5.0,102.9,1.0,1,100.0,1
177,21,4.0,80.02,1.0,39,7.69,1
178,21,3.0,150.0,1.0,1,100.0,0
179,19,5.0,27.59,1.0,1,100.0,1
180,21,4.666666666666667,166.12,1.0,57,5.26,0
181,18,4.714285714285714,119.02,1.4,366,2.73,1
182,21,4.4,92.55,1.06,122,22.13,1
183,21,4.62962962962963,68.56,1.17,440,5.23,0
184,21,4.25,399.77,1.33,248,1.21,1
185,21,4.833333333333333,124.32,1.2,36,11.11,0
186,21,3.8798076923076916,340.86,1.61,414,74.4,0
187,21,5.0,81.62,1.0,52,7.69,0
188,15,3.6666666666666665,303.61,1.0,55,5.45,1
189,7,5.0,95.92,1.0,29,10.34,0
190,21,4.25,161.61,1.0,297,2.69,1
191,21,4.071428571428571,705.92,2.0,67,10.45,0
192,21,4.222222222222222,126.21,1.23,545,17.98,0
193,7,4.358974358974359,302.05,1.15,562,5.69,0
194,21,4.387755102040816,58.3,1.28,392,9.18,0
195,21,4.602739726027397,62.5,1.2,286,18.18,0
196,21,5.0,415.5,1.0,16,12.5,0
197,15,4.3,107.22,2.0,18,22.22,1
198,19,3.0,368.57,1.0,137,1.46,1
199,21,4.5,103.41,1.0,136,1.47,1
200,21,4.75,324.56,1.0,176,2.27,1
201,21,3.7788461538461537,129.65,1.37,352,18.75,0
202,21,5.0,60.73,1.33,42,7.14,1
203,21,3.6,185.57,1.0,50,10.0,1
204,21,5.0,532.22,1.0,19,15.79,0
205,15,3.8333333333333335,1093.72,1.5,28,14.29,0
206,21,2.6666666666666665,515.61,1.0,161,1.86,1
207,14,4.209964412811388,45.99,1.08,464,58.84,0
208,21,4.823529411764706,132.28,1.31,278,4.68,0
209,21,3.5,218.33,1.0,63,3.17,1
210,18,4.5434782608695645,226.67,1.05,538,19.89,0
211,21,4.25,114.8,1.0,268,1.49,0
212,18,4.125,231.53,1.23,251,5.18,0
213,21,4.0,101.6,1.0,68,5.88,0
214,21,3.941860465116279,115.39,1.16,572,12.06,0
215,21,2.1666666666666665,898.09,2.0,68,2.94,0
216,21,4.777777777777778,111.56,1.0,140,6.43,1
217,21,4.0,922.84,1.0,1,100.0,1
218,18,3.5,177.33,1.0,118,5.08,0
219,15,3.0,107.05,1.0,1,100.0,1
220,21,3.7142857142857144,192.13,1.17,443,3.84,0
221,21,3.9827586206896552,57.23,1.18,110,35.45,0
222,21,4.0,37.68,1.0,1,100.0,1
223,14,4.444444444444445,95.86,1.12,212,3.77,0
224,21,4.181818181818182,211.24,1.0,434,5.07,0
225,5,3.0,309.32,1.0,1,100.0,1
226,21,5.0,50.38,1.0,29,10.34,0
227,21,4.8125,251.28,2.29,222,3.15,1
228,21,4.090909090909091,682.58,1.22,111,8.11,1
229,14,4.166666666666667,173.02,1.09,106,8.49,0
230,21,4.0,82.69,1.29,365,4.66,0
231,1,1.0,2818.74,1.0,1,100.0,1
232,15,4.129032258064516,54.43,1.07,495,5.25,0
233,21,3.8157894736842106,194.2,1.36,159,14.47,0
234,21,4.342105263157895,126.98,1.03,505,6.73,0
235,21,4.333333333333333,158.96,1.0,106,4.72,1
236,18,2.5,165.03,1.0,116,1.72,0
237,19,4.333333333333333,67.49,1.0,93,6.45,1
238,21,1.0,109.72,1.0,1,100.0,0
239,7,4.326666666666666,162.48,1.27,584,33.05,0
240,21,3.909090909090909,256.96,1.43,302,7.28,0
241,14,3.0,215.32,1.0,28,10.71,1
242,4,4.115384615384615,266.49,1.04,251,9.16,0
243,21,1.0,56.04,1.0,1,100.0,1
244,7,4.368421052631579,165.98,1.19,300,5.0,1
245,7,4.888888888888889,79.71,1.5,93,5.38,1
246,21,4.333333333333333,247.91,1.12,117,5.98,0
247,21,5.0,70.58,1.0,23,8.7,0
248,21,4.073710073710074,79.97,1.03,574,39.9,0
249,14,4.25,245.11,1.0,91,4.4,1
250,14,5.0,136.76,1.0,1,100.0,0
251,21,4.3125,518.82,1.45,92,11.96,0
252,14,3.6875,625.3,1.28,373,12.06,0
253,21,4.642857142857143,187.22,1.17,340,3.24,0
254,19,5.0,54.5,1.0,28,7.14,1
255,21,3.0,235.7,1.0,187,2.67,0
256,21,4.9,199.29,1.0,117,8.55,0
257,21,5.0,61.08,1.0,1,100.0,1
258,7,5.0,356.11,1.0,1,100.0,0
259,21,5.0,613.28,1.0,8,25.0,1
260,21,3.6774193548387095,430.63,1.15,415,6.02,1
261,21,5.0,198.8,1.0,3,66.67,0
262,21,5.0,252.35,1.0,1,100.0,1
263,21,4.628571428571429,162.65,1.29,576,4.34,0
264,21,4.181818181818182,269.73,1.22,454,1.98,1
265,5,4.545454545454546,226.86,1.0,325,3.38,0
266,7,4.0,89.6,1.0,158,1.27,1
267,21,4.315789473684211,51.02,1.06,43,32.56,0
268,21,4.24,572.99,1.23,404,26.49,0
269,7,4.029850746268656,130.27,1.17,407,24.57,0
270,21,4.195488721804511,259.62,1.09,551,29.22,0
271,21,3.6666666666666665,317.33,1.0,16,12.5,1
272,21,4.365079365079365,1206.86,1.12,548,9.85,0
273,21,4.7,1279.69,2.0,146,2.74,1
274,21,3.628113879003558,179.79,1.36,355,65.92,0
275,7,4.338461538461538,71.98,1.05,370,15.95,0
276,21,4.666666666666667,134.52,1.0,10,30.0,0
277,19,4.5,77.7,1.33,274,2.19,1
278,19,5.0,268.29,1.0,88,6.82,0
279,21,3.8,162.68,1.25,48,8.33,0
280,21,3.4846153846153847,134.74,1.2,371,21.56,0
281,21,4.648648648648648,48.2,1.19,83,27.71,0
282,21,3.8924162257495576,145.05,1.42,467,53.75,0
283,3,3.0,270.93,1.33,53,5.66,1
284,21,5.0,178.92,1.0,1,100.0,0
285,21,1.0,212.06,1.0,1,100.0,0
286,21,4.666666666666667,576.69,1.5,22,9.09,0
287,21,4.0,299.52,1.12,200,4.0,1
288,7,4.25,263.18,1.14,146,8.22,1
289,7,3.88,89.02,1.0,209,10.05,1
290,21,4.222222222222222,317.08,1.0,79,11.39,0
291,14,5.0,338.74,1.0,1,100.0,1
292,19,4.0,162.59,1.0,1,100.0,1
293,21,5.0,54.9,1.0,260,1.54,1
294,19,4.236263736263736,205.25,1.14,474,24.89,0
295,19,5.0,97.0,1.0,1,100.0,1
296,21,3.59375,722.82,1.6,113,17.7,0
297,21,4.3,58.06,1.11,58,13.79,1
298,21,5.0,81.59,1.0,259,0.77,0
299,14,4.090909090909091,241.34,1.2,216,4.17,1
300,14,4.625,79.34,1.14,184,3.8,0
301,21,1.0,715.34,1.0,1,100.0,0
302,19,4.147826086956521,184.23,1.05,526,18.25,0
303,14,5.0,65.81,1.0,1,100.0,1
304,19,2.0,278.77,1.0,71,7.04,0
305,21,4.363636363636363,253.27,1.0,308,3.57,0
306,21,4.092307692307692,94.73,1.18,284,18.66,1
307,21,3.75,109.9,1.07,327,4.28,1
308,21,4.4375,177.02,1.1,331,7.85,0
309,21,4.569767441860465,80.25,1.1,561,12.3,0
310,21,4.888888888888889,116.62,1.0,282,3.19,0
311,19,3.6,864.89,1.67,100,3.0,1
312,21,4.201793721973094,88.99,1.12,314,43.31,0
