seller_state_,review_score_mean,ticket_medio,products_by_orders,dias_na_base,perc_atividade,inativo
21,4.333333333333333,52.28,1.0,20,30.0,0
21,4.233333333333333,220.0,1.03,345,7.54,0
5,5.0,239.04,1.0,1,100.0,0
4,4.6,85.43,1.0,45,11.11,0
21,4.428571428571429,95.44,1.0,189,12.7,0
21,1.0,128.72,1.5,5,40.0,1
21,4.468085106382978,70.75,1.31,327,10.7,1
0,2.3333333333333335,419.6,1.0,41,7.32,1
21,5.0,219.27,1.0,1,100.0,1
14,4.0,367.38,1.0,5,40.0,1
21,5.0,545.51,1.0,1,100.0,0
19,4.256410256410256,394.89,1.08,170,18.82,0
15,5.0,927.82,2.0,1,100.0,1
21,3.4,87.35,1.25,144,2.78,0
18,5.0,45.09,1.0,1,100.0,1
7,4.375,77.24,1.0,55,14.55,1
21,5.0,201.22,1.0,25,8.0,0
14,4.363636363636363,371.48,1.38,310,9.68,1
21,4.933333333333334,556.48,2.73,124,8.87,0
14,4.029411764705882,115.87,1.1,348,6.61,0
14,4.214285714285714,317.4,1.45,554,5.05,0
17,3.8333333333333335,655.36,1.0,123,4.88,1
18,4.625,258.33,1.12,403,10.17,0
21,4.345864661654136,164.2,1.27,215,36.74,0
15,5.0,66.38,1.0,68,5.88,0
21,4.216216216216216,132.1,1.09,530,6.42,0
14,4.277777777777777,429.36,1.11,243,7.41,0
18,4.6875,79.95,1.07,138,10.87,0
19,4.833333333333333,148.35,1.2,433,1.15,0
19,4.6,46.1,1.11,126,7.14,0
4,4.4,1433.68,1.0,69,7.25,0
18,4.0,43.13,1.0,1,100.0,1
21,4.038961038961039,105.85,1.0,281,21.35,0
21,5.0,175.5,1.0,31,9.68,1
21,4.0,138.24,1.41,479,3.13,0
21,5.0,169.39,1.0,1,100.0,0
19,2.0,27.69,1.0,1,100.0,1
21,3.0,130.73,1.0,118,2.54,1
14,4.0,37.09,1.0,1,100.0,1
21,4.076923076923077,107.56,1.18,206,9.22,1
21,3.5555555555555554,136.71,1.12,92,7.61,0
21,4.75,118.36,1.0,97,4.12,0
7,4.317073170731708,370.34,1.05,525,7.43,0
18,4.625,503.46,1.0,116,6.9,0
21,4.431034482758621,57.55,1.09,125,28.8,1
21,5.0,137.02,1.0,1,100.0,0
18,2.5,103.83,1.0,110,3.64,0
21,3.5714285714285716,95.56,1.17,248,2.42,1
21,4.441860465116279,89.63,1.19,465,7.1,0
18,4.5,303.23,1.0,88,2.27,0
19,3.2,218.03,1.25,106,3.77,1
14,3.5714285714285716,83.83,1.0,412,1.7,1
21,4.4,380.93,1.25,136,2.94,1
21,4.714285714285714,160.73,1.17,159,3.77,0
21,4.333333333333333,123.14,1.15,77,15.58,0
21,3.753012048192771,69.34,1.12,552,21.56,0
14,4.0,79.31,1.0,8,25.0,0
21,5.0,67.01,1.0,1,100.0,1
15,4.04,300.16,1.92,457,2.84,1
21,4.106995884773663,47.1,1.08,372,36.02,0
5,4.683333333333334,142.79,1.05,348,15.52,1
21,4.0,111.91,1.0,1,100.0,1
21,3.696969696969697,127.73,1.27,202,12.87,1
14,5.0,224.44,1.0,1,100.0,0
14,4.75,152.0,1.52,343,5.25,0
21,4.275862068965518,243.1,1.09,384,30.21,1
21,4.0,888.97,1.14,233,3.0,1
2,3.909090909090909,183.61,1.38,371,1.89,1
14,4.3125,181.63,1.04,363,11.85,0
15,4.352941176470588,120.3,1.13,129,25.58,0
21,4.454545454545454,311.54,2.75,166,2.41,1
21,4.2,675.04,1.0,261,1.92,1
21,5.0,47.43,1.0,1,100.0,0
21,4.8,79.59,1.0,80,6.25,1
14,4.148148148148148,171.34,1.08,373,6.43,1
21,3.4615384615384617,229.78,1.86,54,11.11,1
21,5.0,36.84,1.0,1,100.0,1
21,4.0,48.27,1.0,73,6.85,0
21,1.0,81.6,1.0,1,100.0,1
21,3.9886731391585766,132.05,1.21,568,55.46,0
19,4.6,246.97,2.0,132,3.79,0
21,4.352941176470588,110.75,1.0,420,4.05,1
16,5.0,44.28,1.0,2,100.0,0
21,3.9411764705882355,148.37,1.06,130,11.54,0
21,4.1,153.06,1.25,96,8.33,0
21,4.071428571428571,97.3,1.17,263,4.56,0
21,4.4,1724.47,1.0,118,4.24,0
18,4.1,95.67,1.43,144,4.86,1
14,5.0,40.27,1.0,1,100.0,0
1,5.0,161.37,1.0,1,100.0,0
21,5.0,859.45,2.67,39,7.69,0
5,3.8181818181818183,89.47,1.0,317,3.47,0
21,3.96,113.03,1.14,242,8.68,0
21,4.214285714285714,293.81,2.0,140,5.0,0
5,4.0,469.91,1.33,104,2.88,1
21,4.055555555555555,165.24,1.2,190,7.89,1
14,4.0,77.38,1.0,1,100.0,1
21,4.8,650.62,2.5,110,1.82,1
21,4.0,384.83,1.0,86,5.81,0
7,4.625,211.88,1.0,251,3.19,1
21,1.0,52.78,1.0,1,100.0,1
21,4.666666666666667,321.75,1.4,164,9.15,1
21,1.0,291.49,1.0,1,100.0,1
5,4.0,48.94,1.0,1,100.0,0
21,3.9000000000000004,179.84,1.17,79,37.97,0
21,5.0,19.29,2.0,1,100.0,0
21,4.241379310344827,275.82,1.07,324,8.64,0
7,3.5,69.84,1.0,141,4.26,0
21,3.8837209302325584,250.22,1.29,510,17.25,0
21,5.0,335.09,1.0,1,100.0,1
21,3.9285714285714284,173.68,1.12,268,8.21,0
19,4.666666666666667,123.45,1.5,3,66.67,0
14,4.0,301.44,1.17,523,7.07,0
21,4.2,77.59,1.09,441,11.34,1
21,4.75,171.99,1.0,20,20.0,1
21,3.9696969696969697,124.48,1.24,415,16.63,0
14,5.0,554.55,1.0,13,30.77,0
14,4.666666666666667,267.02,1.0,45,26.67,0
15,3.880952380952381,176.6,1.16,245,13.47,0
19,3.888888888888889,123.07,1.0,68,11.76,1
3,3.9411764705882355,435.62,1.13,374,7.49,0
14,3.8157894736842106,159.99,1.22,109,22.94,1
21,3.3934426229508197,55.96,1.32,349,30.09,0
21,5.0,306.2,1.0,1,100.0,1
14,4.714285714285714,164.46,1.08,243,4.94,1
21,4.8,644.31,1.0,57,8.77,0
21,4.5,94.21,1.0,8,50.0,1
19,4.903225806451613,98.27,3.44,364,2.47,0
21,5.0,113.9,1.0,1,100.0,0
7,4.222222222222222,221.26,1.1,118,8.47,0
21,4.333333333333333,78.01,1.0,85,3.53,1
21,4.75,329.35,1.0,316,2.53,1
21,3.3333333333333335,250.18,1.0,52,5.77,0
21,3.9,98.32,1.25,81,9.88,0
7,4.666666666666667,92.27,1.0,54,5.56,0
21,4.7,345.36,1.67,85,7.06,1
15,4.2727272727272725,50.67,1.05,55,29.09,0
21,4.625,124.64,1.0,122,5.74,1
21,4.0,27.21,1.0,28,7.14,1
19,5.0,428.85,1.0,12,16.67,0
21,3.6666666666666665,78.37,1.0,80,3.75,1
21,4.153911564625851,122.38,1.12,540,74.07,0
21,4.065217391304348,133.52,1.19,108,33.33,0
2,1.0,86.43,1.0,1,100.0,1
7,4.219047619047619,130.31,1.12,489,16.56,0
14,4.35,104.48,1.18,239,7.11,1
21,3.0,167.62,1.0,1,100.0,1
7,5.0,62.38,1.0,1,100.0,1
21,4.027522935779817,319.1,1.98,402,12.19,0
21,4.142857142857143,49.37,1.17,216,2.78,0
21,5.0,169.36,2.0,1,100.0,1
21,5.0,69.01,1.0,1,100.0,0
21,5.0,84.78,1.0,1,100.0,0
15,4.625,320.79,1.12,69,11.59,1
14,4.857142857142857,92.85,1.0,386,1.81,1
7,4.0,192.94,1.0,1,100.0,0
21,4.5,370.48,1.0,184,1.09,1
14,3.9,746.26,1.11,173,5.2,1
14,3.5714285714285716,273.61,1.17,233,2.58,1
21,4.348837209302325,119.31,1.1,257,14.01,0
14,3.357142857142857,204.76,1.27,127,7.87,1
14,5.0,83.97,1.0,54,5.56,0
21,4.2,107.61,1.05,495,8.08,0
14,4.428571428571429,108.68,1.0,44,13.64,1
15,4.714285714285714,144.99,1.0,93,7.53,1
21,4.5625,326.28,1.6,82,10.98,0
18,3.2,167.39,1.67,55,5.45,1
21,4.571428571428571,206.01,1.0,88,7.95,1
21,4.0,108.37,1.06,125,22.4,1
7,3.5,114.13,1.0,6,33.33,1
14,4.0,225.21,1.0,1,100.0,1
15,1.0,86.74,1.0,1,100.0,1
7,4.7,190.67,1.11,20,40.0,0
7,4.090909090909091,833.14,1.09,290,3.79,1
7,5.0,114.84,1.29,284,2.46,1
7,5.0,121.45,1.62,361,2.22,0
4,4.25,335.53,1.5,37,21.62,1
21,4.34,109.49,1.16,298,12.42,0
21,2.75,163.73,1.0,214,3.74,0
21,3.9705882352941178,251.71,1.13,414,7.0,0
12,2.071428571428571,1985.33,1.33,190,5.79,0
14,5.0,78.5,1.0,10,20.0,0
21,4.2857142857142865,175.48,1.48,136,13.97,0
21,5.0,61.3,1.0,1,100.0,0
21,4.2727272727272725,144.14,1.05,338,6.21,0
3,4.2,243.66,1.25,62,6.45,1
18,5.0,61.38,1.0,1,100.0,1
21,5.0,40.38,1.0,1,100.0,0
7,4.230769230769231,311.3,1.08,281,4.27,0
21,4.1,100.49,1.25,132,6.06,0
21,4.158536585365853,167.34,1.32,579,25.91,0
21,4.363636363636363,220.35,1.1,21,28.57,1
16,4.956521739130435,61.28,1.15,236,7.63,0
7,4.333333333333333,370.18,1.0,38,7.89,1
4,4.6521739130434785,152.99,1.53,148,10.14,0
21,5.0,98.38,1.6,73,6.85,0
21,4.243243243243243,170.85,1.95,242,9.09,1
1,4.8,217.81,1.0,48,10.42,0
21,5.0,317.37,1.0,1,100.0,1
21,3.2,338.58,1.0,22,18.18,1
14,4.0,144.9,1.0,125,1.6,0
21,4.358778625954199,86.96,1.29,227,37.0,0
3,4.282051282051282,291.21,1.15,410,7.56,0
5,1.0,302.34,3.0,1,100.0,1
21,4.666666666666667,72.0,1.04,213,9.86,0
18,4.809523809523809,203.55,1.0,156,12.82,0
21,5.0,34.64,1.0,2,100.0,1
21,4.0476190476190474,189.66,1.11,210,7.62,0
7,4.105263157894737,213.46,1.12,396,4.04,0
21,4.5,157.62,1.0,95,9.47,0
21,3.709923664122137,148.58,1.14,462,21.65,0
21,4.315789473684211,206.53,1.58,280,4.29,1
3,4.310344827586207,127.65,1.32,407,10.57,1
21,2.8,271.52,1.25,46,6.52,0
15,1.0,281.72,1.0,68,2.94,0
21,5.0,44.42,1.0,1,100.0,1
21,4.441441441441442,130.38,1.11,424,19.58,0
1,5.0,66.28,1.0,1,100.0,1
18,4.8,1618.74,1.67,214,1.4,1
21,4.0,418.68,1.62,319,2.19,0
14,4.0,205.4,1.0,1,100.0,1
7,1.0,179.13,1.0,1,100.0,1
3,3.0,64.66,1.0,27,7.41,0
21,4.590909090909091,117.25,1.07,307,11.4,1
3,3.7225806451612904,170.58,1.1,533,21.76,0
21,3.849462365591398,172.58,1.06,570,14.56,0
21,2.0,250.0,2.0,1,100.0,1
21,5.0,214.56,1.0,1,100.0,1
21,4.666666666666667,102.32,1.0,91,3.3,0
18,5.0,121.68,1.5,18,11.11,0
18,5.0,83.01,1.0,1,100.0,1
18,4.666666666666667,149.27,1.5,14,14.29,0
21,3.6666666666666665,129.73,1.0,64,4.69,1
21,3.857142857142857,384.94,1.0,258,5.43,1
21,4.238095238095238,112.35,1.08,499,5.81,0
15,3.0,42.05,1.0,1,100.0,0
19,4.5,898.36,1.0,89,8.99,1
21,4.0,48.21,1.0,1,100.0,0
21,4.833333333333333,201.17,1.33,97,8.25,0
21,2.5,431.18,1.0,10,20.0,1
18,5.0,1411.38,1.0,63,3.17,1
21,5.0,1323.79,1.0,1,100.0,1
21,4.023809523809524,180.68,1.2,143,20.98,0
21,4.5,52.64,1.0,118,3.39,1
21,4.206896551724138,139.81,1.05,570,8.42,0
14,3.6666666666666665,69.16,1.0,142,2.11,0
15,5.0,105.45,1.0,1,100.0,0
14,4.363636363636363,348.7,1.0,119,9.24,0
15,4.2748091603053435,283.07,1.07,589,39.05,0
7,4.4,69.69,1.0,339,1.47,0
21,4.24,137.25,1.56,283,5.3,0
21,3.6666666666666665,544.33,1.0,49,6.12,1
7,4.666666666666667,76.93,1.0,81,3.7,1
13,4.363636363636363,273.7,1.0,231,4.76,0
7,5.0,94.77,1.0,1,100.0,1
21,3.8541666666666665,663.37,1.45,569,10.9,0
21,4.185185185185185,69.74,1.06,399,34.59,0
18,2.0,1196.78,1.0,1,100.0,1
21,5.0,283.73,1.0,1,100.0,1
21,4.0256410256410255,130.66,1.16,522,19.73,0
19,4.666666666666667,105.15,1.0,28,10.71,1
21,4.0,169.15,1.0,1,100.0,0
21,4.1230769230769235,232.68,1.05,529,67.49,0
18,4.428571428571429,146.77,1.0,183,3.28,1
21,5.0,164.03,1.0,48,4.17,1
21,4.0,128.16,1.0,314,0.96,1
7,5.0,306.9,3.0,1,100.0,1
18,4.166666666666667,1107.2,3.0,29,6.9,1
14,5.0,22.24,1.03,22,13.64,1
15,2.7,79.81,1.11,96,9.38,1
7,3.3684210526315788,239.99,2.24,325,4.92,0
19,4.212121212121212,199.3,1.06,454,6.39,0
21,5.0,1435.58,1.0,1,100.0,1
21,4.583333333333333,254.07,1.5,116,6.9,0
21,5.0,16.36,1.0,1,100.0,1
21,5.0,188.08,2.0,1,100.0,0
21,3.5789473684210527,157.61,1.06,138,12.32,0
18,4.0,106.33,1.0,1,100.0,0
21,3.951219512195122,109.1,1.46,459,11.33,0
21,4.8,82.59,1.0,54,9.26,0
21,3.8,324.42,1.0,79,6.33,0
7,4.153846153846154,277.14,1.08,373,3.22,1
21,5.0,150.27,1.0,1,100.0,0
3,2.6666666666666665,717.34,1.5,38,5.26,0
21,4.391304347826087,203.68,1.64,177,7.34,0
21,4.333333333333333,146.8,1.0,5,60.0,0
21,3.824653607262302,169.71,1.19,597,89.45,0
21,3.858974358974359,377.16,1.22,341,15.84,0
15,5.0,155.26,1.0,1,100.0,0
14,4.0,153.1,1.0,26,15.38,0
7,5.0,70.3,1.0,78,3.85,1
1,4.0344827586206895,315.91,1.07,549,4.92,0
19,5.0,105.28,1.0,1,100.0,1
21,3.9047619047619047,212.72,1.17,179,8.94,0
21,2.0,246.2,1.25,16,18.75,1
20,4.6,412.61,1.25,61,6.56,1
14,4.081081081081082,772.09,1.65,492,4.07,0
21,4.323144104803493,92.1,1.06,320,43.75,0
21,2.6,259.76,2.5,67,2.99,1
21,4.363636363636363,151.63,1.0,85,12.94,1
21,4.666666666666667,41.85,1.2,194,2.58,0
21,4.166666666666667,82.0,1.18,159,6.29,0
7,5.0,136.97,1.0,1,100.0,0
21,4.166666666666667,203.42,1.03,499,5.81,0
21,4.5,912.28,1.0,34,5.88,1
21,4.225,976.51,1.54,151,16.56,0
21,4.061224489795918,153.64,1.04,156,26.92,1
21,3.838235294117647,81.99,1.08,185,29.19,0
21,4.8,53.98,1.0,78,6.41,0
21,3.759530791788856,132.0,1.34,553,31.1,0
21,4.276595744680851,116.01,1.0,258,16.67,0
14,3.6666666666666665,122.92,1.5,71,2.82,0
21,4.0,75.32,1.0,47,4.26,1
15,4.0,149.5,1.14,39,15.38,1
21,4.5,804.08,1.0,66,6.06,1
21,3.4782608695652173,204.91,1.21,368,4.89,0
21,3.0,120.76,1.0,1,100.0,1
14,5.0,1142.44,2.0,1,100.0,1
14,3.0,180.17,1.0,7,28.57,1
21,3.4285714285714284,173.98,1.0,255,2.75,1
7,4.5,683.19,1.0,83,9.64,0
7,4.4,338.0,1.0,25,20.0,0
14,4.2,526.89,1.0,65,7.69,1
21,4.207407407407407,161.27,1.12,486,45.88,0
21,5.0,111.37,1.0,138,1.45,0
14,4.523809523809524,155.07,1.43,577,6.93,0
18,5.0,173.23,1.0,1,100.0,1
14,4.75,115.98,1.0,177,2.26,1
21,5.0,199.84,1.0,1,100.0,0
21,2.4,123.82,1.25,195,2.05,0
21,5.0,164.45,1.0,1,100.0,1
14,4.066666666666666,50.32,1.07,178,7.87,0
21,3.4,354.15,1.25,196,2.04,0
7,4.191489361702128,90.52,1.52,385,7.01,0
15,3.0,173.86,1.0,189,1.06,1
21,4.081081081081081,175.49,1.21,532,10.53,0
7,2.5,90.24,1.0,1,100.0,1
21,1.6666666666666667,513.11,2.0,26,11.54,1
21,1.0,303.6,2.0,1,100.0,1
7,5.0,1147.48,2.0,1,100.0,0
21,3.6,126.08,1.19,95,20.0,1
21,3.6666666666666665,246.83,1.0,105,2.86,1
21,4.2,169.45,1.14,524,13.93,0
21,3.6666666666666665,161.59,1.5,334,1.2,0
21,2.888888888888889,288.86,1.12,47,17.02,1
21,3.9164882226980726,146.52,1.15,590,44.92,0
18,5.0,85.49,1.0,1,100.0,0
21,4.833333333333333,110.35,1.5,216,1.85,1
21,3.875,190.49,1.0,154,5.19,0
21,3.948717948717949,56.02,1.34,513,5.46,0
21,4.5,660.48,1.0,57,3.51,0
21,3.875,177.93,1.14,218,3.21,0
21,5.0,116.24,1.0,22,9.09,0
7,5.0,535.19,1.0,8,25.0,0
18,5.0,120.8,1.0,1,100.0,0
1,4.0,432.26,1.0,68,4.41,1
14,5.0,59.42,1.0,6,33.33,0
21,3.6818181818181817,285.19,2.0,272,3.68,1
21,4.409090909090909,241.9,1.0,394,5.58,0
21,3.0657894736842106,383.26,1.26,292,17.47,0
7,4.133333333333334,242.66,1.5,304,3.29,1
21,4.0,41.31,1.0,219,2.74,0
21,4.666666666666667,58.74,1.33,24,33.33,0
21,5.0,167.96,1.0,1,100.0,0
21,5.0,282.47,1.0,1,100.0,0
7,4.0,195.02,1.4,534,8.61,0
4,4.0,438.88,2.0,37,5.41,0
15,4.25,719.37,1.09,213,5.16,0
21,4.5,31.33,1.0,9,22.22,0
14,4.25,414.36,1.0,87,4.6,0
21,1.8333333333333335,211.78,1.0,4,100.0,1
8,4.0,183.35,1.0,17,23.53,1
21,4.447368421052632,122.43,1.15,114,22.81,1
15,4.619047619047619,122.47,1.14,106,49.06,0
21,4.357142857142857,281.83,1.08,431,3.02,1
7,4.25,81.61,1.0,46,6.52,0
19,4.0,50.93,1.0,24,12.5,0
21,1.0,199.92,2.0,1,100.0,1
7,5.0,63.4,1.0,1,100.0,1
18,4.555555555555555,73.48,1.12,139,10.79,0
21,3.5714285714285716,213.32,1.0,162,3.09,1
14,4.333333333333333,126.25,1.0,27,7.41,0
21,4.333333333333333,243.61,1.0,137,4.38,1
21,4.36,96.1,1.19,285,17.89,1
14,3.8882681564245813,411.93,1.08,560,22.86,0
21,4.8,69.5,1.0,361,1.39,0
21,3.6,84.06,1.67,61,4.92,0
16,4.785714285714286,265.05,1.0,353,3.97,1
21,4.0,106.38,1.11,173,5.2,1
21,4.75,119.7,1.0,16,25.0,0
21,4.421052631578948,232.96,1.07,324,24.38,0
21,3.0,78.12,1.0,1,100.0,0
21,4.5,506.92,1.0,129,1.55,1
21,5.0,87.18,1.0,80,2.5,1
14,4.0,286.28,1.0,25,12.0,1
21,4.75,49.26,1.0,21,19.05,0
21,4.125,175.79,1.14,91,6.59,0
14,3.2857142857142856,1271.7,1.17,450,1.33,1
21,5.0,98.37,1.0,1,100.0,1
21,4.666666666666667,194.22,1.5,85,2.35,1
18,3.8799999999999994,1466.95,1.47,399,4.26,0
21,3.5,120.82,1.16,117,16.24,1
14,2.0,444.26,2.0,1,100.0,1
14,3.6666666666666665,1415.44,1.0,292,2.05,0
21,4.304347826086956,77.82,1.1,270,7.04,0
21,5.0,106.55,1.0,1,100.0,1
18,5.0,105.41,1.0,78,3.85,0
14,4.10091743119266,184.32,1.16,457,17.94,0
1,4.119999999999999,804.15,1.23,359,41.23,0
21,5.0,674.83,1.0,1,100.0,1
21,4.5,96.31,1.0,4,50.0,1
21,3.5641025641025643,329.61,1.73,224,24.55,0
21,4.4,59.09,1.0,69,5.8,1
15,4.0,57.77,1.0,1,100.0,0
15,4.141242937853107,56.77,1.12,408,28.92,0
21,2.75,27.35,1.0,423,1.89,0
7,3.0,62.34,1.0,72,2.78,0
21,5.0,900.5,2.0,255,1.96,0
21,4.352941176470588,155.86,1.0,213,6.1,0
21,4.104587155963303,106.78,1.18,553,51.54,0
15,4.333333333333333,610.15,1.0,137,8.03,1
7,3.0,221.79,1.0,1,100.0,0
21,3.2,1515.91,1.0,250,2.0,0
14,4.190476190476191,87.25,1.05,157,11.46,1
4,5.0,39.17,1.0,1,100.0,0
21,4.8,239.11,1.0,37,18.92,0
14,3.0641025641025643,203.06,1.14,259,15.83,0
21,4.376744186046512,108.26,1.09,587,27.6,0
7,4.0,81.05,1.0,16,37.5,1
19,4.315789473684211,221.9,1.06,185,9.73,0
7,4.714285714285714,84.12,1.0,62,9.68,0
21,1.0,87.57,1.0,19,10.53,1
21,4.666666666666667,402.0,1.5,179,1.12,1
14,4.4,37.56,1.0,285,1.75,1
14,3.25,362.41,1.0,54,7.41,0
5,3.3076923076923075,103.88,1.17,128,7.81,1
21,5.0,51.74,1.0,26,7.69,0
19,2.5,216.86,1.0,1,100.0,0
7,4.5,137.3,1.08,186,19.89,1
21,3.6470588235294117,178.7,1.13,192,7.81,0
21,4.0,146.35,1.0,123,4.88,0
21,4.666666666666667,179.36,1.2,233,2.15,1
21,3.9285714285714284,424.86,1.33,444,4.73,0
15,4.888888888888889,185.97,1.12,19,42.11,0
21,3.772727272727273,155.48,1.0,52,30.77,0
7,4.538461538461538,74.33,1.0,202,6.44,1
21,4.247148288973385,61.46,1.04,219,55.25,0
3,3.82010582010582,85.98,1.11,462,28.14,0
21,2.5,106.56,1.0,194,1.03,1
21,3.7454545454545456,122.59,1.2,549,7.65,0
21,4.409090909090909,329.65,1.0,117,18.8,0
19,3.0,395.98,1.0,558,0.36,0
21,4.5,3476.11,2.0,53,7.55,0
21,4.666666666666667,70.68,1.0,15,20.0,1
21,5.0,74.46,1.0,6,33.33,1
21,5.0,89.17,1.4,90,5.56,1
21,5.0,164.84,1.0,91,2.2,1
21,5.0,41.25,1.0,50,4.0,0
21,4.090909090909091,305.53,1.27,565,4.6,0
18,4.375,160.92,1.0,125,6.4,0
2,3.6666666666666665,62.4,1.0,227,1.32,1
19,3.8333333333333335,297.29,1.0,191,2.62,0
15,4.5,51.06,1.0,391,2.05,0
18,5.0,166.05,1.0,1,100.0,0
21,4.388888888888888,63.5,1.32,567,4.94,0
19,4.0,229.12,1.0,28,7.14,0
7,4.4,39.44,1.0,125,4.0,0
19,4.424242424242424,138.51,1.06,550,10.55,0
21,4.75,35.51,1.0,272,2.57,1
21,4.112676056338028,186.91,1.2,561,10.16,0
7,5.0,3602.47,1.0,1,100.0,1
18,1.0,478.96,2.0,1,100.0,1
18,4.133333333333333,761.77,1.14,473,2.96,0
21,5.0,146.63,1.0,12,16.67,0
14,5.0,64.42,1.0,1,100.0,1
7,4.155555555555556,189.77,1.02,101,28.71,0
21,4.157894736842105,2092.1,1.06,251,5.98,1
7,4.523809523809524,122.92,1.14,124,25.0,0
14,4.666666666666667,127.62,1.0,110,4.55,1
21,4.153846153846154,124.8,1.08,76,17.11,0
21,5.0,880.75,1.0,1,100.0,0
7,3.9416058394160585,278.76,1.1,404,25.0,0
21,5.0,81.38,1.0,50,4.0,0
21,4.769230769230769,73.22,1.3,137,7.3,1
14,4.636363636363637,90.11,1.1,62,16.13,0
14,5.0,156.75,1.0,1,100.0,1
21,4.312977099236641,195.52,1.07,454,20.7,1
18,4.0,86.94,1.07,119,11.76,0
15,5.0,50.13,1.0,1,100.0,1
21,4.642857142857143,66.62,1.0,22,50.0,0
21,5.0,271.98,3.0,1,100.0,0
14,4.461538461538462,113.71,1.0,116,11.21,0
21,4.818181818181818,82.46,1.1,103,8.74,0
21,4.207865168539326,182.32,1.31,591,20.47,0
21,4.818181818181818,85.4,1.16,299,12.04,1
21,5.0,203.77,1.0,1,100.0,0
19,4.5,127.79,1.0,3,66.67,0
21,3.6666666666666665,271.04,1.2,584,1.71,0
19,3.923076923076923,229.78,1.0,289,4.5,1
21,2.75,136.25,1.14,94,6.38,1
21,4.5,114.7,1.08,24,29.17,0
21,2.4482758620689653,269.23,2.42,47,19.15,0
21,3.903225806451613,170.73,1.07,220,12.27,1
21,4.9,144.69,1.0,98,10.2,0
14,4.117647058823529,145.73,1.06,560,2.68,0
15,2.8181818181818183,610.98,1.57,228,3.07,1
7,3.7857142857142856,515.27,1.17,230,5.22,0
19,4.1,236.43,1.82,195,5.64,1
15,3.75,130.08,1.5,568,2.64,0
14,4.0606060606060606,319.05,1.22,398,6.28,0
21,4.190476190476191,297.58,1.14,384,9.38,0
21,4.357142857142857,218.82,1.17,97,10.31,0
21,4.617647058823529,149.54,1.08,319,15.67,0
21,3.0,24.96,1.0,1,100.0,1
7,4.0,446.14,1.0,58,5.17,1
7,4.5,91.94,1.0,219,0.91,1
7,4.352941176470588,219.8,1.0,112,15.18,0
7,2.3333333333333335,329.72,1.24,174,9.77,0
21,4.25,869.67,1.33,56,5.36,0
15,4.695652173913044,294.64,1.1,121,15.7,1
19,4.909090909090909,1101.21,1.57,69,10.14,0
21,4.128712871287129,365.0,1.04,378,19.05,1
21,4.7,117.92,1.11,175,5.14,0
21,4.171428571428572,133.29,1.13,328,9.15,0
21,4.076923076923077,36.48,1.13,547,3.84,0
21,1.0,178.04,2.0,1,100.0,1
14,4.446808510638298,113.71,1.31,337,9.79,0
7,4.4753086419753085,131.22,1.1,585,21.2,0
21,5.0,31.79,1.0,257,0.78,1
21,4.082474226804123,96.83,1.04,288,27.78,0
21,2.0,714.91,1.0,1,100.0,1
21,3.857142857142857,1935.45,1.17,37,16.22,1
21,3.9375,140.35,1.03,405,7.41,0
21,5.0,139.07,1.0,18,11.11,1
21,4.833333333333333,259.48,1.0,25,24.0,0
21,4.166666666666667,344.27,1.0,319,3.76,0
21,5.0,1370.41,1.0,1,100.0,0
4,5.0,219.33,1.0,1,100.0,1
21,4.0,110.01,1.0,72,6.94,0
21,4.0,409.5,1.12,515,44.08,0
19,5.0,53.88,1.0,28,7.14,0
14,4.2727272727272725,128.11,1.32,299,8.03,0
21,4.5,49.72,1.2,27,18.52,0
21,5.0,30.32,1.0,1,100.0,0
21,4.5,218.22,1.0,98,7.14,0
14,5.0,467.61,1.0,1,100.0,1
19,5.0,278.91,1.0,1,100.0,0
19,4.666666666666667,186.59,1.0,92,3.26,1
18,4.5,137.43,1.0,3,66.67,0
21,3.8333333333333335,159.46,1.33,431,1.86,0
21,4.25,302.08,1.33,282,3.19,0
21,4.071428571428571,102.01,1.4,54,14.81,0
21,5.0,40.98,1.0,11,18.18,1
21,4.0,283.33,1.0,7,42.86,1
21,4.443037974683544,104.99,1.29,515,10.87,0
21,3.8227848101265822,172.72,1.18,580,9.48,0
14,4.8,135.71,1.0,60,16.67,0
21,4.586956521739131,46.34,1.1,220,17.73,0
4,5.0,151.04,1.0,1,100.0,0
21,5.0,262.58,1.33,25,8.0,0
21,4.448275862068965,181.21,1.07,206,12.14,0
14,3.5714285714285716,158.62,1.08,174,5.17,0
18,4.285714285714286,99.6,1.4,281,3.56,0
21,3.625,212.86,1.33,44,13.64,1
21,3.0,127.12,1.21,308,13.31,0
14,5.0,1224.92,2.0,20,10.0,0
21,3.923076923076923,440.79,1.24,542,10.7,0
21,4.764705882352941,191.01,1.0,290,5.86,0
21,4.714285714285714,637.63,1.25,87,21.84,0
21,4.8,631.66,1.0,106,4.72,0
19,3.546153846153847,227.95,1.59,210,34.76,0
21,4.333333333333333,41.76,1.0,17,17.65,0
21,3.7058823529411766,938.64,1.06,145,11.03,0
18,4.444444444444445,244.34,1.09,73,64.38,0
14,4.333333333333333,1624.08,1.5,568,0.35,0
21,3.909090909090909,57.86,1.1,129,7.75,1
15,5.0,130.52,1.0,41,4.88,0
7,5.0,361.27,1.0,1,100.0,1
21,3.0,52.51,1.0,40,5.0,1
21,4.714285714285714,165.56,1.75,128,3.12,0
