seller_state_,review_score_mean,ticket_medio,products_by_orders,dias_na_base,perc_atividade,inativo
21,4.1,197.46,1.25,204,3.92,1
21,5.0,74.51,1.0,1,100.0,0
21,4.5,138.61,1.0,142,1.41,0
7,4.08695652173913,64.88,1.0,368,6.25,1
21,4.0,206.65,1.0,1,100.0,1
21,4.666666666666667,516.88,1.0,67,4.48,0
21,4.785714285714286,312.87,1.56,428,2.1,0
21,5.0,62.87,1.0,1,100.0,1
14,3.564102564102564,673.07,1.58,249,18.47,0
19,5.0,11745.0,15.0,1,100.0,1
21,3.6666666666666665,141.55,1.5,10,20.0,1
7,5.0,30.86,1.0,1,100.0,1
18,4.75,51.45,1.0,99,4.04,0
14,4.0327102803738315,319.05,1.32,297,34.01,0
21,4.215686274509804,90.17,1.12,477,24.32,0
21,5.0,33.16,1.0,1,100.0,1
21,4.633333333333334,102.97,1.03,505,5.35,0
21,3.9831460674157304,108.17,1.14,478,24.9,0
21,4.888888888888889,168.26,1.0,60,13.33,0
21,3.7540983606557377,363.64,1.64,514,7.0,0
15,3.6666666666666665,82.86,1.0,104,5.77,1
21,3.9220779220779223,98.79,1.26,383,14.62,0
14,5.0,113.42,1.0,46,10.87,1
7,4.139737991266376,171.85,1.3,582,21.13,0
14,5.0,122.3,1.0,78,3.85,0
7,4.048780487804878,173.26,1.11,498,7.23,0
21,4.52,56.32,1.14,266,7.89,0
21,4.0,447.93,1.33,22,13.64,1
18,2.75,572.2,2.0,70,5.71,1
7,4.166666666666666,223.01,1.18,371,11.86,1
5,5.0,91.82,1.0,22,9.09,0
21,4.25,93.58,1.06,436,25.0,1
21,3.9384615384615382,220.89,1.22,256,40.62,0
21,4.5,70.06,1.11,135,5.93,0
7,4.32258064516129,140.19,1.08,463,15.33,0
21,2.6666666666666665,44.53,1.0,24,12.5,0
21,3.857142857142857,48.9,1.17,314,1.91,0
21,4.666666666666667,64.03,1.0,81,3.7,0
19,4.142857142857143,233.33,1.17,190,3.16,1
7,4.361313868613139,89.81,1.2,584,30.99,0
21,4.714285714285714,116.46,1.0,505,2.57,0
7,4.515151515151516,130.26,1.06,424,7.31,0
5,5.0,156.57,1.33,26,11.54,1
21,4.390243902439024,64.22,1.0,321,11.21,0
21,5.0,70.93,1.0,1,100.0,1
14,4.267857142857142,155.93,1.19,278,14.75,0
21,3.75,120.34,1.0,34,11.76,1
21,5.0,102.9,1.0,1,100.0,1
21,4.0,80.02,1.0,39,7.69,1
21,3.0,150.0,1.0,1,100.0,0
19,5.0,27.59,1.0,1,100.0,1
21,4.666666666666667,166.12,1.0,57,5.26,0
18,4.714285714285714,119.02,1.4,366,2.73,1
21,4.4,92.55,1.06,122,22.13,1
21,4.62962962962963,68.56,1.17,440,5.23,0
21,4.25,399.77,1.33,248,1.21,1
21,4.833333333333333,124.32,1.2,36,11.11,0
21,3.8798076923076916,340.86,1.61,414,74.4,0
21,5.0,81.62,1.0,52,7.69,0
15,3.6666666666666665,303.61,1.0,55,5.45,1
7,5.0,95.92,1.0,29,10.34,0
21,4.25,161.61,1.0,297,2.69,1
21,4.071428571428571,705.92,2.0,67,10.45,0
21,4.222222222222222,126.21,1.23,545,17.98,0
7,4.358974358974359,302.05,1.15,562,5.69,0
21,4.387755102040816,58.3,1.28,392,9.18,0
21,4.602739726027397,62.5,1.2,286,18.18,0
21,5.0,415.5,1.0,16,12.5,0
15,4.3,107.22,2.0,18,22.22,1
19,3.0,368.57,1.0,137,1.46,1
21,4.5,103.41,1.0,136,1.47,1
21,4.75,324.56,1.0,176,2.27,1
21,3.7788461538461537,129.65,1.37,352,18.75,0
21,5.0,60.73,1.33,42,7.14,1
21,3.6,185.57,1.0,50,10.0,1
21,5.0,532.22,1.0,19,15.79,0
15,3.8333333333333335,1093.72,1.5,28,14.29,0
21,2.6666666666666665,515.61,1.0,161,1.86,1
14,4.209964412811388,45.99,1.08,464,58.84,0
21,4.823529411764706,132.28,1.31,278,4.68,0
21,3.5,218.33,1.0,63,3.17,1
18,4.5434782608695645,226.67,1.05,538,19.89,0
21,4.25,114.8,1.0,268,1.49,0
18,4.125,231.53,1.23,251,5.18,0
21,4.0,101.6,1.0,68,5.88,0
21,3.941860465116279,115.39,1.16,572,12.06,0
21,2.1666666666666665,898.09,2.0,68,2.94,0
21,4.777777777777778,111.56,1.0,140,6.43,1
21,4.0,922.84,1.0,1,100.0,1
18,3.5,177.33,1.0,118,5.08,0
15,3.0,107.05,1.0,1,100.0,1
21,3.7142857142857144,192.13,1.17,443,3.84,0
21,3.9827586206896552,57.23,1.18,110,35.45,0
21,4.0,37.68,1.0,1,100.0,1
14,4.444444444444445,95.86,1.12,212,3.77,0
21,4.181818181818182,211.24,1.0,434,5.07,0
5,3.0,309.32,1.0,1,100.0,1
21,5.0,50.38,1.0,29,10.34,0
21,4.8125,251.28,2.29,222,3.15,1
21,4.090909090909091,682.58,1.22,111,8.11,1
14,4.166666666666667,173.02,1.09,106,8.49,0
21,4.0,82.69,1.29,365,4.66,0
1,1.0,2818.74,1.0,1,100.0,1
15,4.129032258064516,54.43,1.07,495,5.25,0
21,3.8157894736842106,194.2,1.36,159,14.47,0
21,4.342105263157895,126.98,1.03,505,6.73,0
21,4.333333333333333,158.96,1.0,106,4.72,1
18,2.5,165.03,1.0,116,1.72,0
19,4.333333333333333,67.49,1.0,93,6.45,1
21,1.0,109.72,1.0,1,100.0,0
7,4.326666666666666,162.48,1.27,584,33.05,0
21,3.909090909090909,256.96,1.43,302,7.28,0
14,3.0,215.32,1.0,28,10.71,1
4,4.115384615384615,266.49,1.04,251,9.16,0
21,1.0,56.04,1.0,1,100.0,1
7,4.368421052631579,165.98,1.19,300,5.0,1
7,4.888888888888889,79.71,1.5,93,5.38,1
21,4.333333333333333,247.91,1.12,117,5.98,0
21,5.0,70.58,1.0,23,8.7,0
21,4.073710073710074,79.97,1.03,574,39.9,0
14,4.25,245.11,1.0,91,4.4,1
14,5.0,136.76,1.0,1,100.0,0
21,4.3125,518.82,1.45,92,11.96,0
14,3.6875,625.3,1.28,373,12.06,0
21,4.642857142857143,187.22,1.17,340,3.24,0
19,5.0,54.5,1.0,28,7.14,1
21,3.0,235.7,1.0,187,2.67,0
21,4.9,199.29,1.0,117,8.55,0
21,5.0,61.08,1.0,1,100.0,1
7,5.0,356.11,1.0,1,100.0,0
21,5.0,613.28,1.0,8,25.0,1
21,3.6774193548387095,430.63,1.15,415,6.02,1
21,5.0,198.8,1.0,3,66.67,0
21,5.0,252.35,1.0,1,100.0,1
21,4.628571428571429,162.65,1.29,576,4.34,0
21,4.181818181818182,269.73,1.22,454,1.98,1
5,4.545454545454546,226.86,1.0,325,3.38,0
7,4.0,89.6,1.0,158,1.27,1
21,4.315789473684211,51.02,1.06,43,32.56,0
21,4.24,572.99,1.23,404,26.49,0
7,4.029850746268656,130.27,1.17,407,24.57,0
21,4.195488721804511,259.62,1.09,551,29.22,0
21,3.6666666666666665,317.33,1.0,16,12.5,1
21,4.365079365079365,1206.86,1.12,548,9.85,0
21,4.7,1279.69,2.0,146,2.74,1
21,3.628113879003558,179.79,1.36,355,65.92,0
7,4.338461538461538,71.98,1.05,370,15.95,0
21,4.666666666666667,134.52,1.0,10,30.0,0
19,4.5,77.7,1.33,274,2.19,1
19,5.0,268.29,1.0,88,6.82,0
21,3.8,162.68,1.25,48,8.33,0
21,3.4846153846153847,134.74,1.2,371,21.56,0
21,4.648648648648648,48.2,1.19,83,27.71,0
21,3.8924162257495576,145.05,1.42,467,53.75,0
3,3.0,270.93,1.33,53,5.66,1
21,5.0,178.92,1.0,1,100.0,0
21,1.0,212.06,1.0,1,100.0,0
21,4.666666666666667,576.69,1.5,22,9.09,0
21,4.0,299.52,1.12,200,4.0,1
7,4.25,263.18,1.14,146,8.22,1
7,3.88,89.02,1.0,209,10.05,1
21,4.222222222222222,317.08,1.0,79,11.39,0
14,5.0,338.74,1.0,1,100.0,1
19,4.0,162.59,1.0,1,100.0,1
