,media_produtos_por_pedido,media_valor_pedido_sem_frete,dias_atividade,cluster
225,1.0,41.67,34,0
226,1.0,26.0,1,0
227,1.04,70.65,122,0
228,1.0,814.55,291,1
229,1.08,29.67,368,1
230,1.05,156.77,270,1
231,1.0,150.0,1,0
232,1.22,113.61,274,1
233,1.0,125.59,182,0
234,1.0,99.0,26,0
235,1.0,313.5,80,0
236,1.12,71.67,299,1
237,1.0,236.17,240,0
238,1.03,52.36,347,1
239,1.36,128.47,134,0
240,1.38,172.31,218,0
241,1.0,110.0,1,0
242,1.0,86.5,71,0
243,1.08,52.33,317,1
244,1.1,64.22,384,1
245,1.0,30.5,216,0
246,1.0,153.6,111,0
247,1.03,226.17,414,1
248,1.05,44.38,208,0
249,1.0,35.91,186,0
250,1.0,130.5,264,0
251,1.11,67.56,173,0
252,1.29,61.03,465,1
253,1.05,345.33,530,1
254,1.0,343.0,1,0
255,1.0,90.0,1,0
256,1.5,208.5,202,0
257,1.14,51.69,277,1
258,1.0,174.82,156,0
259,1.0,350.0,1,0
260,1.09,101.17,299,1
261,1.03,106.62,537,1
262,1.0,679.33,356,1
263,1.09,132.51,580,1
264,2.0,44.5,82,0
265,1.0,106.0,17,0
266,1.0,89.67,112,0
267,1.0,59.29,412,1
268,1.09,94.73,94,0
269,1.0,174.0,1,0
270,1.16,51.23,280,1
271,1.0,155.0,1,0
272,1.57,243.14,63,0
273,1.0,392.33,41,0
274,1.0,168.0,1,0
275,1.2,62.0,99,0
276,1.0,155.0,1,0
277,1.0,43.75,191,0
278,1.15,74.15,204,0
279,1.0,48.33,321,1
280,1.0,136.0,129,0
281,1.14,112.71,37,0
282,1.0,453.0,551,1
283,1.0,221.5,91,0
284,1.0,96.69,261,0
285,1.0,112.06,314,1
286,1.0,158.95,304,1
287,1.01,108.28,264,0
288,1.61,27.42,528,1
289,1.14,207.29,54,0
290,1.0,1599.0,100,2
291,1.0,89.0,1,0
292,1.0,22.0,1,0
293,2.0,77.92,189,0
294,1.0,164.65,455,1
295,1.33,56.23,553,1
296,1.11,116.94,534,1
297,1.2,59.0,44,0
298,1.12,62.38,212,0
299,1.2,104.4,102,0
300,1.11,633.06,99,0
301,1.31,58.94,298,1
302,2.0,240.0,161,0
303,1.02,115.72,482,1
304,1.25,83.75,128,0
305,1.0,67.0,54,0
306,1.0,116.0,262,0
307,1.06,117.12,560,1
308,1.0,615.67,213,0
309,2.0,70.0,80,0
310,1.0,361.5,63,0
311,1.0,392.0,259,0
312,1.0,74.0,43,0
313,1.0,879.8,82,0
314,1.0,330.4,600,1
315,1.15,348.85,144,0
316,2.4,85.0,236,0
317,1.06,112.74,265,1
318,1.06,152.26,345,1
319,1.0,40.0,1,0
320,2.06,118.6,567,1
321,1.0,300.0,1,0
322,1.0,103.5,77,0
323,1.08,152.27,686,1
324,1.14,81.0,176,0
325,1.09,77.82,187,0
326,1.08,66.92,205,0
327,1.0,22.0,2,0
328,1.0,90.0,147,0
329,1.0,16.0,1,0
330,2.0,94.0,1,0
331,1.0,134.75,125,0
332,1.0,650.0,1,0
333,1.06,62.19,157,0
334,1.2,58.8,192,0
335,4.33,114.0,130,0
336,1.0,210.0,5,0
337,1.0,94.0,1,0
338,1.0,103.0,104,0
339,1.0,106.0,310,1
340,1.06,81.47,205,0
341,1.5,156.0,74,0
342,1.0,32.75,55,0
343,1.0,90.0,1,0
344,1.0,280.0,4,0
345,1.0,79.38,74,0
346,1.0,79.0,73,0
347,1.0,304.0,337,1
348,1.04,129.85,524,1
349,1.32,75.36,299,1
350,1.0,109.17,40,0
351,1.0,792.8,437,1
352,1.0,21.0,1,0
353,1.12,83.4,108,0
